,Restaurant_Name,Restaurant_Category,Rating,price_for_2
89,WAGH BAKRI TEA LOUNGE,"Beverages, Fast Food",4.4,₹500 FOR TWO
90,Rooh Burgers,"Fast Food, Beverages",4.1,₹200 FOR TWO
91,Tamra - Shangri-La Eros New Delhi,"Indian, Continental, Pan-Asian, Desserts",4.1,₹2200 FOR TWO
92,ORIENTAL GARDEN,"Chinese, Desserts, Fast Food",4.1,₹179 FOR TWO
93,Maalgaadi by Dhaba Estd 1986 Delhi,"North Indian, Indian, Biryani, Punjabi, Kebabs, Grill, Mughlai, Desserts",4.8,₹900 FOR TWO
94,Caffe Tonino,"Italian, Pizzas",4.1,₹1400 FOR TWO
95,PVR Cafe,"Fast Food, American, Pizzas",4.1,₹400 FOR TWO
96,Dhaba Estd 1986 Delhi,"Biryani, Hyderabadi, North Indian, Indian, Tandoor, Punjabi",4.3,₹900 FOR TWO
97,Bijoli Grill,"North Indian, Chinese, Bengali",4.2,₹500 FOR TWO
98,Ghoomar traditional thali restaurant,Indian,4.0,₹700 FOR TWO
99,CHEF 2020,Chinese,4.0,₹300 FOR TWO
100,Madras Coffee House,"South Indian, Fast Food, Beverages",4.0,₹750 FOR TWO
101,FaYian,Chinese,4.1,₹600 FOR TWO
102,Balaji Dhaba,North Indian,4.4,₹150 FOR TWO
103,Shri Hari Vaishnav Dhaba,"North Indian, Thalis",,₹200 FOR TWO
104,Naivedyam,South Indian,,₹300 FOR TWO
105,Domino's Pizza,Pizzas,,₹400 FOR TWO
106,Dayal Dhaba,North Indian,,₹200 FOR TWO
107,CHAUBARA,"Continental, Italian",,₹250 FOR TWO
108,Meenas,"Fast Food, Chinese, North Indian",,₹450 FOR TWO
109,New Janta Dhaba,Indian,,₹300 FOR TWO
110,Andhra Bhawan Canteen,"Street Food, Indian, Snacks",,₹400 FOR TWO
111,Pehalwan Da Hotel,North Indian,,₹400 FOR TWO
112,Vrinda vaishno dhaba,North Indian,,₹200 FOR TWO
113,Capital Hotel,North Indian,,₹200 FOR TWO
114,Behrouz Biryani - Royal & Safe,"Biryani, Mughlai, Lucknowi, Kebabs, Hyderabadi, North Indian, Persian, Desserts",,₹500 FOR TWO
115,Kakku chicken corner,Chinese,,₹400 FOR TWO
116,Creme N Crisp,"Desserts, Fast Food, Bakery",,₹400 FOR TWO
117,Kuremals Kulfi,"Desserts, Ice Cream",,₹200 FOR TWO
118,FOOD ME UP,"Beverages, North Indian, Chinese",,₹300 FOR TWO
119,Biryani Badshah,"Hyderabadi, South Indian, North Indian, Biryani, Andhra, Mughlai",,₹350 FOR TWO
120,The Hungerss,"Chinese, South Indian",,₹250 FOR TWO
121,Baskin Robbins,"Desserts, Ice Cream",,₹300 FOR TWO
122,Narula Bakery,Bakery,,₹300 FOR TWO
123,Artinci - Indulge Guilt Free!,"Ice Cream, Healthy Food, Keto, Desserts, Snacks, Beverages, Bakery",,₹200 FOR TWO
124,Cakes & More,"Bakery, Snacks",,₹300 FOR TWO
125,Sachdeva's  Multi Cuisine Joint,"Chinese, Indian, Beverages, Italian",,₹149 FOR TWO
126,Santosh Patisserie,Bakery,,₹299 FOR TWO
127,Home plate,"Home Food, North Indian, Healthy Food, Thalis, Desserts, Indian, Punjabi",,₹160 FOR TWO
128,EVEREST CAFE,"Fast Food, Pizzas, Chinese",,₹300 FOR TWO
129,SONU CHAT HOUSE & RESTAURANT,Chaat,,₹200 FOR TWO
130,Tadka 4986,"North Indian, Chinese, Italian, Fast Food",,₹500 FOR TWO
131,SONU RESTURNT,"Indian, Chinese",,₹300 FOR TWO
132,Sweet Truth,"Bakery, Desserts, Beverages",,₹200 FOR TWO
133,Ovenstory Pizza,"Pizzas, Italian",,₹600 FOR TWO
134,Yummy paratha,Indian,,₹100 FOR TWO
135,Qureshi Kabab Corner (Old Delhi Original),"Indian, Snacks",,₹350 FOR TWO
136,Leo's restaurant lounge,"Continental, Chinese, North Indian, Mughlai",,₹300 FOR TWO
137,Swagat Dhaba,"South Indian, North Indian",,₹200 FOR TWO
138,Flavours,"North Indian, Chinese, South Indian, Mughlai",,₹350 FOR TWO
139,Magic Pot,"North Indian, Chinese, Italian",,₹400 FOR TWO
140,Giani,Ice Cream,,₹300 FOR TWO
141,Spice Of India,Fast Food,,₹250 FOR TWO
142,Shawrma Xpress,Lebanese,,₹120 FOR TWO
143,PUNJABI CHASKA,"Thalis, Indian, Fast Food, Punjabi",,₹200 FOR TWO
144,EVEREST CAFE,"Fast Food, Pizzas, Chinese",,₹300 FOR TWO
145,SONU CHAT HOUSE & RESTAURANT,Chaat,,₹200 FOR TWO
146,Tadka 4986,"North Indian, Chinese, Italian, Fast Food",,₹500 FOR TWO
147,SONU RESTURNT,"Indian, Chinese",,₹300 FOR TWO
148,Sweet Truth,"Bakery, Desserts, Beverages",,₹200 FOR TWO
149,Ovenstory Pizza,"Pizzas, Italian",,₹600 FOR TWO
150,Yummy paratha,Indian,,₹100 FOR TWO
151,Qureshi Kabab Corner (Old Delhi Original),"Indian, Snacks",,₹350 FOR TWO
152,Leo's restaurant lounge,"Continental, Chinese, North Indian, Mughlai",,₹300 FOR TWO
153,Swagat Dhaba,"South Indian, North Indian",,₹200 FOR TWO
154,Flavours,"North Indian, Chinese, South Indian, Mughlai",,₹350 FOR TWO
155,Magic Pot,"North Indian, Chinese, Italian",,₹400 FOR TWO
156,Giani,Ice Cream,,₹300 FOR TWO
157,Spice Of India,Fast Food,,₹250 FOR TWO
158,Shawrma Xpress,Lebanese,,₹120 FOR TWO
